instant,dteday,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,0,False,6,1,0.24,0.24,0.81,0.0,3.0,13.0,16.0
2,2011-01-01,1,False,6,1,0.22,0.22,0.8,0.0,8.0,32.0,40.0
3,2011-01-01,2,False,6,1,0.22,0.22,0.8,0.0,5.0,27.0,32.0
4,2011-01-01,3,False,6,1,0.24,0.24,0.75,0.0,3.0,10.0,13.0
5,2011-01-01,4,False,6,1,0.24,0.24,0.75,0.0,0.0,1.0,1.0
6,2011-01-01,5,False,6,2,0.24,0.24,0.75,0.0896,0.0,1.0,1.0
7,2011-01-01,6,False,6,1,0.22,0.22,0.8,0.0,2.0,0.0,2.0
8,2011-01-01,7,False,6,1,0.2,0.2,0.86,0.0,1.0,2.0,3.0
9,2011-01-01,8,False,6,1,0.24,0.24,0.75,0.0,1.0,7.0,8.0
10,2011-01-01,9,False,6,1,0.32,0.32,0.76,0.0,8.0,6.0,14.0
11,2011-01-01,10,False,6,1,0.20590000000000003,0.20590000000000003,0.76,0.2537,12.0,24.0,36.0
12,2011-01-01,11,False,6,1,0.36,0.36,0.81,0.2836,4.921,30.0,56.0
13,2011-01-01,12,False,6,1,0.20590000000000003,0.20590000000000003,0.77,0.2836,4.921,55.0,84.0
14,2011-01-01,13,False,6,2,0.20590000000000003,0.20590000000000003,0.72,0.2985,4.921,47.0,94.0
15,2011-01-01,14,False,6,2,0.20590000000000003,0.20590000000000003,0.72,0.2836,4.921,71.0,106.0
16,2011-01-01,15,False,6,2,0.20590000000000003,0.20590000000000003,0.77,0.2985,4.921,70.0,110.0
17,2011-01-01,16,False,6,2,0.20590000000000003,0.20590000000000003,0.82,0.2985,4.921,52.0,93.0
18,2011-01-01,17,False,6,2,0.20590000000000003,0.20590000000000003,0.82,0.2836,4.921,52.0,67.0
19,2011-01-01,18,False,6,3,0.20590000000000003,0.20590000000000003,0.88,0.2537,9.0,26.0,35.0
20,2011-01-01,19,False,6,3,0.20590000000000003,0.20590000000000003,0.88,0.2537,6.0,31.0,37.0
21,2011-01-01,20,False,6,2,0.20590000000000003,0.20590000000000003,0.87,0.2537,11.0,25.0,36.0
22,2011-01-01,21,False,6,2,0.20590000000000003,0.20590000000000003,0.87,0.194,3.0,31.0,34.0
23,2011-01-01,22,False,6,2,0.20590000000000003,0.20590000000000003,0.94,0.2239,11.0,17.0,28.0
24,2011-01-01,23,False,6,2,0.20590000000000003,0.20590000000000003,0.88,0.2985,4.921,24.0,39.0
25,2011-02-01,0,False,0,2,0.20590000000000003,0.20590000000000003,0.88,0.2985,4.0,13.0,17.0
26,2011-02-01,1,False,0,2,0.20590000000000003,0.20590000000000003,0.94,0.2537,1.0,16.0,17.0
27,2011-02-01,2,False,0,2,0.20590000000000003,0.20590000000000003,1.0,0.2836,1.0,8.0,9.0
28,2011-02-01,3,False,0,2,0.20590000000000003,0.20590000000000003,0.94,0.194,2.0,4.0,6.0
29,2011-02-01,4,False,0,2,0.20590000000000003,0.20590000000000003,0.94,0.194,2.0,1.0,3.0
30,2011-02-01,6,False,0,3,0.20590000000000003,0.20590000000000003,0.77,0.2985,0.0,2.0,2.0
31,2011-02-01,7,False,0,2,0.20590000000000003,0.20590000000000003,0.76,0.194,0.0,1.0,1.0
